  step |   Δx ON  Δx OFF |  CE ON CE OFF |   gnorm ON  gnorm OFF | avg50 ON avg50 OFF
  1620 |   0.609   0.121 |   7.92   7.99 |   5.86e+03   5.79e+00 |     9.86     7.62
  1630 |   0.583   0.124 |   8.96   7.87 |   6.09e+03   4.78e+00 |    10.13     7.59
  1640 |   0.557   0.119 |   9.08   7.76 |   7.10e+03   4.64e+00 |    10.38     7.55
  1650 |   0.731   0.122 |   8.42   7.48 |   6.53e+04   4.35e+00 |    10.69     7.55
  1660 |   0.574   0.128 |   8.68   7.60 |   3.94e+04   7.23e+00 |    10.82     7.54
  1670 |   0.542   0.125 |   9.24   7.93 |   8.70e+04   5.89e+00 |    10.75     7.52
  1680 |   0.483   0.129 |   9.02   7.68 |   1.66e+05   8.80e+00 |    10.64     7.51
  1690 |   0.491   0.127 |   9.00   7.85 |   1.25e+05   5.72e+00 |    10.51     7.55
  1700 |   0.473   0.120 |   8.67   7.71 |   7.17e+04   5.26e+00 |    10.30     7.53
  1710 |   0.557   0.120 |   8.99   7.79 |   1.65e+05   4.68e+00 |    10.29     7.51
  1720 |   0.531   0.125 |   7.92   7.67 |   6.55e+05   5.75e+00 |    10.32     7.55
  1730 |   0.505   0.118 |   8.97   7.38 |   1.33e+05   5.18e+00 |    10.38     7.54
  1740 |   0.492   0.124 |   8.82   7.66 |   2.91e+05   7.09e+00 |    10.37     7.52
  1750 |   0.596   0.155 |   8.49   8.31 |   7.24e+05   8.10e+00 |    10.55     7.51
  1760 |   0.540   0.152 |   9.45   7.78 |   6.34e+05   6.60e+00 |    10.50     7.53
  1770 |   0.560   0.117 |   8.81   7.60 |   3.86e+05   6.96e+00 |    10.62     7.47
  1780 |   0.535   0.132 |   9.03   7.76 |   2.81e+05   7.22e+01 |    10.61     7.47
  1790 |   0.574   0.127 |   8.87   7.89 |   5.04e+05   6.54e+00 |    10.73     7.46
  1800 |   0.607   0.129 |   8.22   7.46 |   1.56e+06   6.09e+00 |    10.69     7.47
  1810 |   0.712   0.125 |   8.74   7.58 |   8.93e+05   7.46e+00 |    10.85     7.44
  1820 |   0.570   0.114 |   8.92   8.10 |   6.14e+05   5.41e+00 |    10.83     7.42
  1830 |   0.588   0.112 |   8.72   7.40 |   7.53e+04   3.54e+00 |    11.04     7.40
  1840 |   0.550   0.115 |   9.43   7.81 |   2.79e+05   4.68e+00 |    11.06     7.40
  1850 |   0.559   0.220 |   9.15   5.15 |   2.58e+05   4.30e+00 |    11.20     7.39
  1860 |   0.564   0.117 |   8.88   7.31 |   6.91e+05   5.76e+00 |    11.09     7.39
  1870 |   0.610   0.111 |   9.26   7.57 |   8.12e+05   5.18e+00 |    11.18     7.41
  1880 |   0.543   0.119 |   8.93   7.47 |   4.10e+05   7.53e+00 |    11.04     7.41
  1890 |   0.577   0.129 |   9.12   8.48 |   7.13e+05   9.80e+00 |    11.10     7.38
  1900 |   0.582   0.108 |   9.17   7.27 |   9.40e+05   3.12e+00 |    10.99     7.43
  1910 |   0.660   0.104 |   9.30   7.99 |   9.27e+05   3.32e+00 |    11.15     7.41
  1920 |   0.658   0.109 |   9.06   7.54 |   1.08e+06   5.19e+00 |    11.17     7.40
  1930 |   0.626   0.110 |   9.34   7.30 |   7.06e+05   6.52e+00 |    11.38     7.39
  1940 |   0.645   0.118 |   8.42   7.73 |   1.24e+06   1.08e+01 |    11.37     7.41
  1950 |   0.717   0.112 |   9.36   7.45 |   3.41e+06   7.20e+00 |    11.63     7.37
  1960 |   0.773   0.111 |   9.72   7.70 |   2.90e+06   4.61e+00 |    11.72     7.37
  1970 |   0.675   0.116 |   9.18   7.86 |   2.05e+07   3.63e+00 |    11.87     7.35
  1980 |   0.660   0.115 |   9.44   7.58 |   1.64e+06   8.07e+00 |    11.89     7.34
  1990 |   0.725   0.119 |   9.35   7.42 |   1.33e+07   6.11e+00 |    12.08     7.29
  2000 |   0.734   0.111 |   8.91   7.64 |   1.20e+07   4.92e+00 |    12.17     7.30
  2010 |   0.650   0.113 |   9.12   7.26 |   3.73e+05   5.44e+00 |    12.09     7.32
  2020 |   0.645   0.114 |   9.75   7.10 |   2.54e+05   6.46e+00 |    11.96     7.36
  2030 |   0.709   0.111 |   9.63   7.33 |   8.76e+05   6.67e+00 |    12.05     7.37
  2040 |   0.695   0.112 |   9.52   7.64 |   5.88e+06   4.46e+00 |    12.01     7.35
  2050 |   0.629   0.106 |   9.33   7.69 |   4.86e+05   3.52e+00 |    11.86     7.35
  2060 |   0.594   0.207 |   8.97   4.76 |   1.90e+05   4.27e+00 |    11.79     7.33
  2070 |   0.738   0.111 |   9.41   7.56 |   2.82e+05   6.77e+00 |    12.06     7.31
  2080 |   0.656   0.113 |   9.99   7.70 |   5.50e+05   5.47e+00 |    11.88     7.32
  2090 |   0.619   0.108 |   9.25   7.78 |   5.50e+05   3.32e+00 |    11.81     7.35
  2100 |   0.601   0.116 |   9.32   7.14 |   2.96e+06   4.91e+00 |    11.70     7.34
  2110 |   0.657   0.107 |   9.49   7.85 |   6.94e+05   5.94e+00 |    11.92     7.31
  2120 |   0.653   0.106 |   9.28   7.26 |   1.15e+06   4.36e+00 |    11.66     7.29
  2130 |   0.664   0.111 |   9.38   7.52 |   2.66e+06   5.34e+00 |    11.98     7.28
  2140 |   0.811   0.110 |   9.50   7.46 |   6.46e+06   5.86e+00 |    12.26     7.29
  2150 |   0.744   0.113 |  10.54   7.51 |   5.62e+07   1.14e+01 |    12.73     7.30
  2160 |   0.821   0.117 |   9.93   7.22 |   9.87e+07   1.05e+01 |    13.10     7.32
  2170 |   0.724   0.109 |  10.39   7.82 |   6.32e+06   6.53e+00 |    13.49     7.35
  2180 |   0.713   0.113 |   9.85   7.63 |   1.87e+06   7.52e+00 |    13.43     7.35
  2190 |   0.785   0.104 |   8.90   7.34 |   1.52e+06   5.46e+00 |    13.42     7.33
  2200 |   0.715   0.208 |   9.49   4.58 |   6.15e+06   1.07e+01 |    13.17     7.30
  2210 |   0.811   0.113 |   9.75   7.49 |   2.33e+07   7.01e+00 |    12.96     7.30
  2220 |   0.789   0.109 |   9.53   7.52 |   2.76e+07   6.74e+00 |    12.85     7.28
  2230 |   0.741   0.112 |  10.47   7.50 |   1.24e+07   6.09e+00 |    12.98     7.30
  2240 |   0.702   0.111 |   9.87   7.18 |   3.40e+07   6.96e+00 |    13.09     7.24
  2250 |       -   0.105 |      -   7.28 |          -   3.75e+00 |        -     7.25
  2300 |       -   0.118 |      -   7.41 |          -   6.79e+00 |        -     7.26

=== overlap window verdict (1010-2240, n=124) ===
  Δx     ON mean=0.481 max=0.821 | OFF mean=0.142 max=0.311
  CE     ON mean=8.756 max=10.538 | OFF mean=7.620 max=8.525
  gnorm  ON max=9.87e+07 | OFF max=7.22e+01
  CE<8.71 frac:  ON=0.53 OFF=1.00
