  arms=['real', 'shuffled', 'same'] seeds=[0, 1, 2] steps=6000 ckpt_every=300 n_measure=16
  [seed 0] rules=13 corpus=1672 B heldout=74
  [same s0] step  2400 | CE 0.010 | acc 0.054 | rho_gw -0.006 | bimod 0.366 | effrank 4.3 | 65s
  [same s0] step  2700 | CE 0.010 | acc 0.054 | rho_gw -0.009 | bimod 0.365 | effrank 3.8 | 69s
  [same s0] step  3000 | CE 0.010 | acc 0.054 | rho_gw +0.003 | bimod 0.371 | effrank 5.2 | 73s
  [same s0] step  3300 | CE 0.010 | acc 0.054 | rho_gw +0.006 | bimod 0.375 | effrank 6.5 | 78s
  [same s0] step  3600 | CE 0.010 | acc 0.054 | rho_gw +0.006 | bimod 0.364 | effrank 5.7 | 82s
  [same s0] step  3900 | CE 0.010 | acc 0.054 | rho_gw +0.000 | bimod 0.374 | effrank 5.9 | 86s
  [same s0] step  4200 | CE 0.009 | acc 0.054 | rho_gw +0.004 | bimod 0.371 | effrank 5.3 | 90s
  [same s0] step  4500 | CE 0.009 | acc 0.054 | rho_gw +0.009 | bimod 0.382 | effrank 8.5 | 94s
  [same s0] step  4800 | CE 0.009 | acc 0.054 | rho_gw +0.006 | bimod 0.364 | effrank 6.1 | 98s
  [same s0] step  5100 | CE 0.009 | acc 0.054 | rho_gw +0.004 | bimod 0.330 | effrank 4.0 | 102s
  [same s0] step  5400 | CE 0.009 | acc 0.054 | rho_gw +0.005 | bimod 0.388 | effrank 6.4 | 106s
  [same s0] step  5700 | CE 0.009 | acc 0.054 | rho_gw +0.011 | bimod 0.392 | effrank 7.6 | 110s
  [same s0] step  6000 | CE 0.009 | acc 0.054 | rho_gw +0.009 | bimod 0.380 | effrank 7.0 | 114s
  [seed 1] rules=13 corpus=1672 B heldout=74
  [real s1] step     0 | CE nan | acc 0.000 | rho_gw +0.001 | bimod 0.429 | effrank 28.6 | 41s
  [real s1] step   300 | CE 1.257 | acc 0.027 | rho_gw +0.020 | bimod 0.333 | effrank 7.8 | 45s
  [real s1] step   600 | CE 0.729 | acc 0.081 | rho_gw +0.015 | bimod 0.317 | effrank 16.2 | 50s
  [real s1] step   900 | CE 0.253 | acc 0.189 | rho_gw +0.001 | bimod 0.312 | effrank 25.7 | 54s
  [real s1] step  1200 | CE 0.094 | acc 0.216 | rho_gw -0.014 | bimod 0.311 | effrank 23.5 | 59s
