  arms=['real', 'shuffled', 'same'] seeds=[0, 1, 2] steps=6000 ckpt_every=300 n_measure=16
  [seed 0] rules=13 corpus=1672 B heldout=74
  [same s0] step  2400 | CE 0.010 | acc 0.054 | rho_gw +0.001 | bimod 0.385 | effrank 5.1 | 63s
  [same s0] step  2700 | CE 0.010 | acc 0.054 | rho_gw -0.000 | bimod 0.348 | effrank 6.8 | 67s
  [same s0] step  3000 | CE 0.010 | acc 0.054 | rho_gw -0.001 | bimod 0.375 | effrank 5.6 | 72s
  [same s0] step  3300 | CE 0.010 | acc 0.054 | rho_gw +0.002 | bimod 0.371 | effrank 5.8 | 76s
  [same s0] step  3600 | CE 0.010 | acc 0.054 | rho_gw -0.004 | bimod 0.365 | effrank 4.5 | 80s
  [same s0] step  3900 | CE 0.010 | acc 0.054 | rho_gw +0.006 | bimod 0.374 | effrank 6.6 | 84s
  [same s0] step  4200 | CE 0.009 | acc 0.054 | rho_gw +0.005 | bimod 0.360 | effrank 5.5 | 88s
  [same s0] step  4500 | CE 0.009 | acc 0.054 | rho_gw +0.006 | bimod 0.386 | effrank 6.6 | 93s
  [same s0] step  4800 | CE 0.009 | acc 0.054 | rho_gw +0.007 | bimod 0.383 | effrank 6.2 | 97s
  [same s0] step  5100 | CE 0.009 | acc 0.054 | rho_gw +0.006 | bimod 0.366 | effrank 6.1 | 101s
  [same s0] step  5400 | CE 0.009 | acc 0.054 | rho_gw +0.002 | bimod 0.379 | effrank 5.5 | 105s
  [same s0] step  5700 | CE 0.009 | acc 0.054 | rho_gw +0.008 | bimod 0.150 | effrank 7.3 | 110s
  [same s0] step  6000 | CE 0.010 | acc 0.054 | rho_gw +0.011 | bimod 0.364 | effrank 6.1 | 114s
  [seed 1] rules=13 corpus=1672 B heldout=74
  [real s1] step     0 | CE nan | acc 0.000 | rho_gw +0.001 | bimod 0.429 | effrank 28.6 | 43s
  [real s1] step   300 | CE 1.257 | acc 0.027 | rho_gw +0.020 | bimod 0.333 | effrank 7.8 | 47s
  [real s1] step   600 | CE 0.705 | acc 0.081 | rho_gw +0.016 | bimod 0.302 | effrank 20.5 | 52s
  [real s1] step   900 | CE 0.246 | acc 0.162 | rho_gw +0.003 | bimod 0.315 | effrank 24.7 | 57s
  [real s1] step  1200 | CE 0.094 | acc 0.243 | rho_gw -0.017 | bimod 0.318 | effrank 24.6 | 62s
  [real s1] step  1500 | CE 0.056 | acc 0.297 | rho_gw -0.004 | bimod 0.333 | effrank 19.9 | 66s
  [real s1] step  1800 | CE 0.054 | acc 0.284 | rho_gw +0.005 | bimod 0.308 | effrank 22.2 | 71s
  [real s1] step  2100 | CE 0.050 | acc 0.230 | rho_gw -0.015 | bimod 0.327 | effrank 24.9 | 76s
  [real s1] step  2400 | CE 0.047 | acc 0.257 | rho_gw +0.009 | bimod 0.314 | effrank 24.4 | 81s
  [real s1] step  2700 | CE 0.043 | acc 0.257 | rho_gw +0.025 | bimod 0.307 | effrank 20.2 | 85s
  [real s1] step  3000 | CE 0.047 | acc 0.257 | rho_gw -0.027 | bimod 0.363 | effrank 16.0 | 90s
  [real s1] step  3300 | CE 0.043 | acc 0.257 | rho_gw +0.032 | bimod 0.315 | effrank 25.2 | 95s
  [real s1] step  3600 | CE 0.045 | acc 0.243 | rho_gw +0.042 | bimod 0.306 | effrank 23.0 | 99s
  [real s1] step  3900 | CE 0.044 | acc 0.243 | rho_gw +0.049 | bimod 0.323 | effrank 23.9 | 104s
  [real s1] step  4200 | CE 0.040 | acc 0.243 | rho_gw +0.044 | bimod 0.315 | effrank 25.0 | 109s
  [real s1] step  4500 | CE 0.043 | acc 0.243 | rho_gw +0.051 | bimod 0.306 | effrank 25.0 | 113s
  [real s1] step  4800 | CE 0.043 | acc 0.284 | rho_gw +0.050 | bimod 0.312 | effrank 26.0 | 118s
  [real s1] step  5100 | CE 0.037 | acc 0.257 | rho_gw +0.051 | bimod 0.315 | effrank 28.9 | 122s
  [real s1] step  5400 | CE 0.044 | acc 0.230 | rho_gw +0.057 | bimod 0.317 | effrank 23.8 | 127s
  [real s1] step  5700 | CE 0.042 | acc 0.203 | rho_gw +0.062 | bimod 0.319 | effrank 27.5 | 132s
  [real s1] step  6000 | CE 0.041 | acc 0.216 | rho_gw +0.064 | bimod 0.323 | effrank 25.0 | 137s
  [shuffled s1] step     0 | CE nan | acc 0.000 | rho_gw +0.001 | bimod 0.494 | effrank 18.2 | 0s
  [shuffled s1] step   300 | CE 2.536 | acc 0.000 | rho_gw +0.013 | bimod 0.415 | effrank 12.7 | 4s
  [shuffled s1] step   600 | CE 2.524 | acc 0.000 | rho_gw +0.017 | bimod 0.424 | effrank 13.6 | 8s
  [shuffled s1] step   900 | CE 2.524 | acc 0.000 | rho_gw +0.019 | bimod 0.441 | effrank 13.7 | 11s
  [shuffled s1] step  1200 | CE 2.530 | acc 0.000 | rho_gw +0.020 | bimod 0.445 | effrank 12.2 | 15s
  [shuffled s1] step  1500 | CE 2.523 | acc 0.000 | rho_gw +0.022 | bimod 0.430 | effrank 11.1 | 19s
  [shuffled s1] step  1800 | CE 2.541 | acc 0.000 | rho_gw +0.024 | bimod 0.421 | effrank 11.7 | 23s
  [shuffled s1] step  2100 | CE 2.537 | acc 0.000 | rho_gw +0.025 | bimod 0.436 | effrank 9.1 | 26s
  [shuffled s1] step  2400 | CE 2.535 | acc 0.000 | rho_gw +0.027 | bimod 0.437 | effrank 12.6 | 30s
  [shuffled s1] step  2700 | CE 2.555 | acc 0.000 | rho_gw +0.028 | bimod 0.426 | effrank 9.9 | 34s
  [shuffled s1] step  3000 | CE 2.530 | acc 0.000 | rho_gw +0.029 | bimod 0.428 | effrank 10.5 | 37s
  [shuffled s1] step  3300 | CE 2.537 | acc 0.000 | rho_gw +0.031 | bimod 0.432 | effrank 13.1 | 41s
  [shuffled s1] step  3600 | CE 2.524 | acc 0.000 | rho_gw +0.032 | bimod 0.439 | effrank 12.1 | 45s
  [shuffled s1] step  3900 | CE 2.546 | acc 0.000 | rho_gw +0.034 | bimod 0.440 | effrank 12.1 | 49s
  [shuffled s1] step  4200 | CE 2.533 | acc 0.000 | rho_gw +0.034 | bimod 0.432 | effrank 12.5 | 52s
  [shuffled s1] step  4500 | CE 2.545 | acc 0.000 | rho_gw +0.035 | bimod 0.431 | effrank 12.0 | 56s
  [shuffled s1] step  4800 | CE 2.533 | acc 0.000 | rho_gw +0.036 | bimod 0.446 | effrank 12.1 | 60s
  [shuffled s1] step  5100 | CE 2.535 | acc 0.000 | rho_gw +0.037 | bimod 0.426 | effrank 14.0 | 63s
  [shuffled s1] step  5400 | CE 2.526 | acc 0.000 | rho_gw +0.038 | bimod 0.431 | effrank 12.1 | 67s
  [shuffled s1] step  5700 | CE 2.522 | acc 0.000 | rho_gw +0.039 | bimod 0.420 | effrank 12.4 | 71s
  [shuffled s1] step  6000 | CE 2.530 | acc 0.000 | rho_gw +0.041 | bimod 0.445 | effrank 16.1 | 74s
  [same s1] step     0 | CE nan | acc 0.000 | rho_gw +0.005 | bimod 0.393 | effrank 26.9 | 15s
  [same s1] step   300 | CE 0.033 | acc 0.000 | rho_gw +0.029 | bimod 0.318 | effrank 31.4 | 21s
  [same s1] step   600 | CE 0.012 | acc 0.000 | rho_gw +0.051 | bimod 0.429 | effrank 66.4 | 27s
  [same s1] step   900 | CE 0.011 | acc 0.000 | rho_gw -0.007 | bimod 0.326 | effrank 4.7 | 33s
  [same s1] step  1200 | CE 0.010 | acc 0.000 | rho_gw -0.008 | bimod 0.360 | effrank 5.6 | 39s
  [same s1] step  1500 | CE 0.010 | acc 0.000 | rho_gw -0.008 | bimod 0.347 | effrank 5.7 | 45s
  [same s1] step  1800 | CE 0.010 | acc 0.000 | rho_gw -0.009 | bimod 0.373 | effrank 5.3 | 52s
  [same s1] step  2100 | CE 0.010 | acc 0.000 | rho_gw -0.003 | bimod 0.370 | effrank 6.7 | 58s
  [same s1] step  2400 | CE 0.010 | acc 0.014 | rho_gw +0.001 | bimod 0.362 | effrank 4.6 | 64s
  [same s1] step  2700 | CE 0.010 | acc 0.000 | rho_gw -0.006 | bimod 0.373 | effrank 6.4 | 70s
  [same s1] step  3000 | CE 0.010 | acc 0.000 | rho_gw +0.001 | bimod 0.371 | effrank 6.8 | 76s
  [same s1] step  3300 | CE 0.010 | acc 0.000 | rho_gw +0.003 | bimod 0.386 | effrank 6.1 | 82s
  [same s1] step  3600 | CE 0.010 | acc 0.000 | rho_gw -0.000 | bimod 0.395 | effrank 6.9 | 88s
